name:1221-135767-0015,score:tensor([[0.9327]]),stoi:0.7069400511640616,wer:0.0
name:1995-1836-0002,score:tensor([[0.9344]]),stoi:0.6832571706255904,wer:12.5
name:1995-1836-0012,score:tensor([[0.9566]]),stoi:0.8445183673653924,wer:83.3333
name:1995-1837-0002,score:tensor([[0.9601]]),stoi:0.6915678148114471,wer:33.3333
name:1995-1837-0008,score:tensor([[0.9050]]),stoi:0.5519696372632396,wer:83.3333
name:1995-1837-0028,score:tensor([[0.9325]]),stoi:0.7052711767713328,wer:71.4286
name:1995-1826-0006,score:tensor([[0.8814]]),stoi:0.5170890463308189,wer:80.0
name:1995-1826-0008,score:tensor([[0.9063]]),stoi:0.7598277106512903,wer:16.6667
name:1995-1826-0010,score:tensor([[0.9196]]),stoi:0.7652338527143261,wer:16.6667
name:1995-1826-0014,score:tensor([[0.9266]]),stoi:0.6999794610390895,wer:66.6667
name:1995-1836-0002,score:tensor([[0.9344]]),stoi:0.6832571706255904,wer:12.5
name:1995-1836-0012,score:tensor([[0.9566]]),stoi:0.8445183673653924,wer:83.3333
name:1995-1837-0002,score:tensor([[0.9601]]),stoi:0.6915678148114471,wer:33.3333
name:1995-1837-0008,score:tensor([[0.9050]]),stoi:0.5519696372632396,wer:83.3333
name:1995-1837-0028,score:tensor([[0.9325]]),stoi:0.7052711767713328,wer:71.4286
name:1995-1826-0006,score:tensor([[0.8814]]),stoi:0.5170890463308189,wer:80.0
name:1995-1826-0008,score:tensor([[0.9063]]),stoi:0.7598277106512903,wer:16.6667
name:1995-1826-0010,score:tensor([[0.9196]]),stoi:0.7652338527143261,wer:16.6667
name:1995-1826-0014,score:tensor([[0.9266]]),stoi:0.6999794610390895,wer:66.6667
name:2300-131720-0039,score:tensor([[0.9139]]),stoi:0.7744500119991882,wer:50.0
name:2300-131720-0039,score:tensor([[0.9139]]),stoi:0.7744500119991882,wer:50.0
name:8555-284447-0011,score:tensor([[0.8377]]),stoi:0.6914998387770253,wer:25.0
name:8555-284447-0012,score:tensor([[0.8301]]),stoi:0.7377582277156091,wer:0.0
name:8555-284447-0016,score:tensor([[0.9290]]),stoi:0.7536061253112777,wer:50.0
name:8555-284449-0009,score:tensor([[0.8745]]),stoi:0.7394554319854064,wer:66.6667
name:8555-284449-0010,score:tensor([[0.8960]]),stoi:0.8026722828090314,wer:16.6667
name:8555-284449-0014,score:tensor([[0.8439]]),stoi:0.7171691138084744,wer:125.0
name:8555-292519-0002,score:tensor([[0.9052]]),stoi:0.6440356090210778,wer:100.0
name:8555-292519-0011,score:tensor([[0.8825]]),stoi:0.7000754170342874,wer:0.0
name:8555-292519-0014,score:tensor([[0.8789]]),stoi:0.7228346550474068,wer:0.0
name:8555-292519-0015,score:tensor([[0.8995]]),stoi:0.6553542792980136,wer:0.0
name:8555-284447-0011,score:tensor([[0.8377]]),stoi:0.6914998387770253,wer:25.0
name:8555-284447-0012,score:tensor([[0.8301]]),stoi:0.7377582277156091,wer:0.0
name:8555-284447-0016,score:tensor([[0.9290]]),stoi:0.7536061253112777,wer:50.0
name:8555-284449-0009,score:tensor([[0.8745]]),stoi:0.7394554319854064,wer:66.6667
name:8555-284449-0010,score:tensor([[0.8960]]),stoi:0.8026722828090314,wer:16.6667
name:8555-284449-0014,score:tensor([[0.8439]]),stoi:0.7171691138084744,wer:125.0
name:8555-292519-0002,score:tensor([[0.9052]]),stoi:0.6440356090210778,wer:100.0
name:8555-292519-0011,score:tensor([[0.8825]]),stoi:0.7000754170342874,wer:0.0
name:8555-292519-0014,score:tensor([[0.8789]]),stoi:0.7228346550474068,wer:0.0
name:8555-292519-0015,score:tensor([[0.8995]]),stoi:0.6553542792980136,wer:0.0
name:5142-36600-0000,score:tensor([[0.9263]]),stoi:0.8370562111270917,wer:0.0
name:5142-36377-0011,score:tensor([[0.9230]]),stoi:0.8017624528171843,wer:33.3333
name:5142-36586-0001,score:tensor([[0.9283]]),stoi:0.8034537706716596,wer:0.0
name:5142-36586-0002,score:tensor([[0.9332]]),stoi:0.7460044663548786,wer:60.0
name:5142-33396-0000,score:tensor([[0.9247]]),stoi:0.7857503756623302,wer:20.0
name:5142-33396-0008,score:tensor([[0.9034]]),stoi:0.7455112626049358,wer:42.8571
name:5142-33396-0013,score:tensor([[0.9046]]),stoi:0.819210484262518,wer:50.0
name:5142-33396-0016,score:tensor([[0.9113]]),stoi:0.8090876171249516,wer:0.0
name:5142-33396-0026,score:tensor([[0.9284]]),stoi:0.747231241478645,wer:57.1429
name:5142-33396-0029,score:tensor([[0.8903]]),stoi:0.6676410651286376,wer:14.2857
name:5142-33396-0039,score:tensor([[0.8976]]),stoi:0.841400443003286,wer:16.6667
name:5142-36600-0000,score:tensor([[0.9263]]),stoi:0.8370562111270917,wer:0.0
name:5142-36377-0011,score:tensor([[0.9230]]),stoi:0.8017624528171843,wer:33.3333
name:5142-36586-0001,score:tensor([[0.9283]]),stoi:0.8034537706716596,wer:0.0
name:5142-36586-0002,score:tensor([[0.9332]]),stoi:0.7460044663548786,wer:60.0
name:5142-33396-0000,score:tensor([[0.9247]]),stoi:0.7857503756623302,wer:20.0
name:5142-33396-0008,score:tensor([[0.9034]]),stoi:0.7455112626049358,wer:42.8571
name:5142-33396-0013,score:tensor([[0.9046]]),stoi:0.819210484262518,wer:50.0
name:5142-33396-0016,score:tensor([[0.9113]]),stoi:0.8090876171249516,wer:0.0
name:5142-33396-0026,score:tensor([[0.9284]]),stoi:0.747231241478645,wer:57.1429
name:5142-33396-0029,score:tensor([[0.8903]]),stoi:0.6676410651286376,wer:14.2857
name:5142-33396-0039,score:tensor([[0.8976]]),stoi:0.841400443003286,wer:16.6667
name:1089-134691-0000,score:tensor([[0.9209]]),stoi:0.8453348696073593,wer:0.0
name:1089-134691-0003,score:tensor([[0.9028]]),stoi:0.7666319967736428,wer:0.0
name:1089-134691-0010,score:tensor([[0.9250]]),stoi:0.8086618078746881,wer:140.0
name:1089-134691-0015,score:tensor([[0.9328]]),stoi:0.6017803102185479,wer:20.0
name:1089-134691-0018,score:tensor([[0.9508]]),stoi:0.7924887638774315,wer:0.0
name:1089-134691-0024,score:tensor([[0.8820]]),stoi:0.7761306908515261,wer:100.0
name:1089-134686-0030,score:tensor([[0.9186]]),stoi:0.8228640597046042,wer:20.0
name:1089-134691-0000,score:tensor([[0.9209]]),stoi:0.8453348696073593,wer:0.0
name:1089-134691-0003,score:tensor([[0.9028]]),stoi:0.7666319967736428,wer:0.0
name:1089-134691-0010,score:tensor([[0.9250]]),stoi:0.8086618078746881,wer:140.0
name:1089-134691-0015,score:tensor([[0.9328]]),stoi:0.6017803102185479,wer:20.0
name:1089-134691-0018,score:tensor([[0.9508]]),stoi:0.7924887638774315,wer:0.0
name:1089-134691-0024,score:tensor([[0.8820]]),stoi:0.7761306908515261,wer:100.0
name:1089-134686-0030,score:tensor([[0.9186]]),stoi:0.8228640597046042,wer:20.0
